State,Zip_Code,City,Average_Auto_Insurance_Rate
Michigan,48226,Detroit,6329.00
New York,11212,New York,5703.00
Louisiana,70117,New Orleans,4601.00
Nevada,89101,Las Vegas,3768.00
California,91605,North Hollywood,3767.00
Pennsylvania,19140,Philadelphia,3710.00
Maryland,21216,Baltimore,3443.00
Kentucky,40944,Goose Rock,3435.00
Florida,33142,Brownsville,3342.00
New Jersey,7111,Irvington,3043.00
Missouri,63115,St. Louis,3018.00
Massachusetts,2119,Roxbury,2943.00
Rhode Island,2909,Providence,2875.00
Georgia,30035,Decatur,2777.00
Illinois,60624,Chicago,2721.00
Connecticut,6101,Hartford,2667.00
Delaware,19736,Yorklyn,2646.00
Arizona,85017,Phoenix,2595.00
Texas,75241,Dallas,2447.00
Colorado,80219,Denver,2421.00
Wisconsin,53206,Milwaukee,2306.00
Minnesota,55411,Minneapolis,2292.00
DC,20016,Washington,2188.00
Washington,98108,Boulevard Park,2149.00
Oklahoma,74110,Tulsa,2146.00
Tennessee,38118,Memphis,2120.00
West Virginia,25621,Gilbert,2119.00
Oregon,97266,Portland,2068.00
South Dakota,57756,Manderson,2067.00
Arkansas,72342,Helena-West Helena,2066.00
Kansas,66115,Kansas City,2066.00
South Carolina,29933,Miley,2056.00
Mississippi,39086,Hermanville,2036.00
New Mexico,87121,Albuquerque,2030.00
Alabama,35208,Birmingham,1991.00
Utah,84180,Salt Lake City,1910.00
Nebraska,68110,Omaha,1904.00
Alaska,99504,Anchorage,1877.00
North Carolina,28212,Charlotte,1867.00
Wyoming,82725,Recluse,1844.00
North Dakota,58538,Fort Yates,1793.00
Hawaii,96781,Papaikou,1773.00
Indiana,46409,Gary,1695.00
Iowa,51503,Council Bluffs,1635.00
Ohio,43224,Columbus,1524.00
Vermont,5060,Randolph,1452.00
Virginia,22312,Alexandria,1425.00
Idaho,83536,Kamiah,1415.00
New Hampshire,3104,Manchester,1294.00
Maine,4686,Wesley,1186.00
Virginia,24450,Lexington,2018.13
Hawaii,96703,Anahola,2198.62
Ohio,44883,Tiffin,2325.38
Alaska,99820,Angoon,2335.97
Massachusetts,2554,Nantucket,2378.90
Maine,4742,Fort Fairfield,2403.90
Washington,98368,Port Townsend,2461.54
Wisconsin,54130,Kaukauna,2491.30
Iowa,52241,Coralville,2598.27
Idaho,83716,Boise,2612.88
New York,14830,Corning,2729.59
California,93401,San Luis Obispo,2731.32
Illinois,61443,Kewanee,2792.51
North Carolina,28701,Alexander,2860.59
Montanna,59635,East Helena,2866.45
Arizona,86403,Lake Havasu City,2883.46
New Hampshire,3431,Keene,2887.77
Wyoming,82801,Sheridan,2896.66
Indiana,47909,Lafayette,2931.86
Missouri,65301,Sedalia,2938.18
New Mexico,88310,Alamogordo,2948.89
Oregon,97850,La Grande,2953.60
Kansas,67401,Salina,2954.93
Mississippi,39759,Starkville,3077.33
Vermont,5446,Colchester,3098.67
Pennsylvania,16823,Bellefonte,3116.01
Nebraska,68803,Grand Island,3133.81
Texas,76901,San Angelo,3157.68
Tennessee,37601,Johnson City,3173.65
Utah,84721,Cedar City,3239.58
Colorado,81504,Grand Junction,3291.13
Alabama,36360,Ozark,3310.05
Nevada,89406,Fallon,3411.08
South Dakota,57201,Watertown,3467.81
Florida,32694,Waldo,3481.35
West Virginia,25401,Martinsburg,3519.10
Kentucky,42303,Owensboro,3562.72
Oklahoma,73555,Manitou,3646.98
Maryland,21783,Smithsburg,3658.86
Arkansas,72626,Cotter,3675.93
North Dakota,58104,Fargo,3677.18
Connecticut,6340,Groton,3896.10
Rhode Island,2842,Middletown,3908.01
Minnesota,56007,Albert Lea,3976.80
Georgia,31699,Moody AFB,3976.82
Louisiana,71439,Hornbeck,4332.48
District Of Columbia,20001,Washington,4383.61
New Jersey,7926,Brookside,4592.17
Delaware,19930,Bethany Beach,4953.79
Michigan,48880,Saint Louis,7916.29
Virginia,22312,Alexandria,2871.02
Hawaii,96704,Captain Cook,2859.11
Ohio,43224,Columbus,3667.48
Alaska,99504,Anchorage,3132.74
Massachusetts,2119,Boston,5333.79
Maine,4684,Surry,2785.77
Washington,98118,Seattle,4079.23
Wisconsin,53206,Milwaukee,5102.46
Iowa,51501,Council Bluffs,3633.75
Idaho,83536,Kamiah,3008.28
New York,11212,Brooklyn,10751.24
California,90210,Beverly Hills,6324.83
Illinois,60636,Chicago,5437.22
North Carolina,28205,Charlotte,4803.84
Montanna,59089,Wyola,3457.81
Arizona,85009,Phoenix,5479.07
New Hampshire,3104,Manchester,3845.88
Wyoming,83414,Alta,3156.85
Indiana,46402,Gary,4747.17
Missouri,63120,Saint Louis,5220.97
New Mexico,87121,Albuquerque,4364.29
Oregon,97236,Portland,4908.54
Kansas,66115,Kansas City,4318.12
Mississippi,39086,Hermanville,4323.64
Vermont,5079,Vershire,3314.44
Pennsylvania,19133,Philadelphia,8527.54
Nebraska,68111,Omaha,4516.91
Texas,78049,Laredo,5538.80
Tennessee,38118,Memphis,4991.62
Utah,84104,Salt Lake City,4580.22
Colorado,80219,Denver,4762.40
Alabama,35218,Birmingham,4428.60
Nevada,89101,Las Vegas,7486.53
South Dakota,57770,Pine Ridge,4695.24
Florida,33142,Miami,7631.16
West Virginia,25621,Gilbert,5111.14
Kentucky,41542,Lookout,7400.56
Oklahoma,74110,Tulsa,5150.50
Maryland,21216,Baltimore,8830.19
Arkansas,72202,Little Rock,4957.15
North Dakota,58538,Fort Yates,4477.64
Connecticut,6103,Hartford,6373.96
Rhode Island,2907,Providence,7262.39
Minnesota,55411,Minneapolis,6620.56
Georgia,30314,Atlanta,6991.02
Louisiana,70117,New Orleans,9303.50
District Of Columbia,20002,Washington,4440.79
New Jersey,7102,Newark,8512.59
