,Index,State,Zip_Code,City,Average_Auto_Insurance_Rate,index,Weather_Forecast,Weather_Description,Max_Temperature,Min_Temperature,Humidity
0,0,Michigan,48226,Detroit,6329.0,0.0,Clouds,overcast clouds,41,37.99,93
1,0,Michigan,48226,Detroit,6329.0,63.0,Clouds,overcast clouds,41,37.99,93
2,1,New York,11212,New York,5703.0,1.0,Clouds,overcast clouds,57.2,55,67
3,1,New York,11212,New York,5703.0,158.0,Clouds,overcast clouds,57.2,55,67
4,2,Louisiana,70117,New Orleans,4601.0,2.0,Clouds,overcast clouds,80.01,77,100
5,2,Louisiana,70117,New Orleans,4601.0,193.0,Clouds,overcast clouds,80.01,77,100
6,3,Nevada,89101,Las Vegas,3768.0,3.0,Clear,clear sky,66.2,57,13
7,3,Nevada,89101,Las Vegas,3768.0,180.0,Clear,clear sky,66.2,57,13
8,4,California,91605,North Hollywood,3767.0,4.0,Clear,clear sky,68,59,15
9,5,Pennsylvania,19140,Philadelphia,3710.0,5.0,Clouds,overcast clouds,57.99,53.01,67
10,6,Maryland,21216,Baltimore,3443.0,6.0,Clouds,overcast clouds,59,57,93
11,6,Maryland,21216,Baltimore,3443.0,186.0,Clouds,overcast clouds,59,57,93
12,7,Kentucky,40944,Goose Rock,3435.0,7.0,Clouds,scattered clouds,62.6,60.01,88
13,8,Florida,33142,Brownsville,3342.0,8.0,Clouds,few clouds,82.4,80.01,78
14,8,Florida,33142,Brownsville,3342.0,182.0,Clouds,few clouds,82.4,80.01,78
15,9,New Jersey,07111,Irvington,3043.0,9.0,Clouds,overcast clouds,57.2,52,62
16,10,Missouri,63115,St. Louis,3018.0,10.0,Clouds,overcast clouds,41,39,86
17,11,Massachusetts,02119,Roxbury,2943.0,11.0,Clouds,overcast clouds,50,46,54
18,11,Massachusetts,02119,Roxbury,2943.0,152.0,Clouds,overcast clouds,50,46,54
19,12,Rhode Island,02909,Providence,2875.0,12.0,Clouds,broken clouds,51.8,46,57
20,13,Georgia,30035,Decatur,2777.0,13.0,Clouds,broken clouds,69.8,66,88
21,14,Illinois,60624,Chicago,2721.0,14.0,Clouds,overcast clouds,37.4,35.01,74
22,15,Connecticut,06101,Hartford,2667.0,15.0,Clouds,overcast clouds,51.01,48,66
23,16,Delaware,19736,Yorklyn,2646.0,16.0,Clouds,overcast clouds,57.2,54,76
24,17,Arizona,85017,Phoenix,2595.0,17.0,Clear,clear sky,62.01,57.99,27
25,18,Texas,75241,Dallas,2447.0,18.0,Mist,mist,42.8,42.01,87
26,19,Colorado,80219,Denver,2421.0,19.0,Clear,clear sky,30.99,26.01,54
27,19,Colorado,80219,Denver,2421.0,178.0,Clear,clear sky,30.99,26.01,54
28,20,Wisconsin,53206,Milwaukee,2306.0,20.0,Clear,clear sky,33.01,30,83
29,20,Wisconsin,53206,Milwaukee,2306.0,155.0,Clear,clear sky,33.01,30,83
