State,Zip_Code,City,Average_Auto_Insurance_Rate,City_y,Weather_Forecast,Weather_Description,Max_Temperature,Min_Temperature,Humidity
Massachusetts,2119,Roxbury,"$2,943 ",NaN,NaN,NaN,NaN,NaN,NaN
Massachusetts,2119,Roxbury,"$2,943 ",NaN,NaN,NaN,NaN,NaN,NaN
Massachusetts,2119,Boston,"$5,333.79 ",NaN,NaN,NaN,NaN,NaN,NaN
Massachusetts,2119,Boston,"$5,333.79 ",NaN,NaN,NaN,NaN,NaN,NaN
Massachusetts,2554,Nantucket,"$2,378.90 ",NaN,NaN,NaN,NaN,NaN,NaN
Rhode Island,2842,Middletown,"$3,908.01 ",NaN,NaN,NaN,NaN,NaN,NaN
Rhode Island,2907,Providence,"$7,262.39 ",NaN,NaN,NaN,NaN,NaN,NaN
Rhode Island,2909,Providence,"$2,875 ",NaN,NaN,NaN,NaN,NaN,NaN
New Hampshire,3104,Manchester,"$1,294 ",NaN,NaN,NaN,NaN,NaN,NaN
New Hampshire,3104,Manchester,"$1,294 ",NaN,NaN,NaN,NaN,NaN,NaN
New Hampshire,3104,Manchester,"$3,845.88 ",NaN,NaN,NaN,NaN,NaN,NaN
New Hampshire,3104,Manchester,"$3,845.88 ",NaN,NaN,NaN,NaN,NaN,NaN
New Hampshire,3431,Keene,"$2,887.77 ",NaN,NaN,NaN,NaN,NaN,NaN
Maine,4684,Surry,"$2,785.77 ",NaN,NaN,NaN,NaN,NaN,NaN
Maine,4686,Wesley,"$1,186 ",NaN,NaN,NaN,NaN,NaN,NaN
Maine,4742,Fort Fairfield,"$2,403.90 ",NaN,NaN,NaN,NaN,NaN,NaN
Vermont,5060,Randolph,"$1,452 ",NaN,NaN,NaN,NaN,NaN,NaN
Vermont,5079,Vershire,"$3,314.44 ",NaN,NaN,NaN,NaN,NaN,NaN
Vermont,5446,Colchester,"$3,098.67 ",NaN,NaN,NaN,NaN,NaN,NaN
Connecticut,6101,Hartford,"$2,667 ",NaN,NaN,NaN,NaN,NaN,NaN
Connecticut,6103,Hartford,"$6,373.96 ",NaN,NaN,NaN,NaN,NaN,NaN
Connecticut,6340,Groton,"$3,896.10 ",NaN,NaN,NaN,NaN,NaN,NaN
Connecticut,6340,Groton,"$3,896.10 ",NaN,NaN,NaN,NaN,NaN,NaN
Delaware,6340,Groton,"$3,896.10 ",NaN,NaN,NaN,NaN,NaN,NaN
Delaware,6340,Groton,"$3,896.10 ",NaN,NaN,NaN,NaN,NaN,NaN
New Jersey,7102,Newark,"$8,512.59 ",NaN,NaN,NaN,NaN,NaN,NaN
New Jersey,7111,Irvington,"$3,043 ",NaN,NaN,NaN,NaN,NaN,NaN
New Jersey,7926,Brookside,"$4,592.17 ",NaN,NaN,NaN,NaN,NaN,NaN
New York,11212,New York,"$5,703 ",New York,Clouds,overcast clouds,12,10,58
New York,11212,New York,"$5,703 ",New York,Clouds,overcast clouds,12,10,58
New York,11212,Brooklyn,"$10,751.24 ",New York,Clouds,overcast clouds,12,10,58
New York,11212,Brooklyn,"$10,751.24 ",New York,Clouds,overcast clouds,12,10,58
New York,14830,Corning,"$2,729.59 ",Binghamton,Clouds,overcast clouds,9,5,57
Pennsylvania,16823,Bellefonte,"$3,116.01 ",Altoona,Rain,shower rain,8.33,7.22,61
Pennsylvania,19133,Philadelphia,"$8,527.54 ",Philadelphia,Clouds,overcast clouds,11,7.78,62
