State,Zip Code,City,Average Auto Insurance Rate
Michigan,48226,Detroit,"$6,329"
New York,11212,New York,"$5,703"
Louisiana,70117,New Orleans,"$4,601"
Nevada,89101,Las Vegas,"$3,768"
California,91605,North Hollywood,"$3,767"
Pennsylvania,19140,Philadelphia,"$3,710"
Maryland,21216,Baltimore,"$3,443"
Kentucky,40944,Goose Rock,"$3,435"
Florida,33142,Brownsville,"$3,342"
New Jersey,7111,Irvington,"$3,043"
Missouri,63115,St. Louis,"$3,018"
Massachusetts,2119,Roxbury,"$2,943"
Rhode Island,2909,Providence,"$2,875"
Georgia,30035,Decatur,"$2,777"
Illinois,60624,Chicago,"$2,721"
Connecticut,6101,Hartford,"$2,667"
Delaware,19736,Yorklyn,"$2,646"
Arizona,85017,Phoenix,"$2,595"
Texas,75241,Dallas,"$2,447"
Colorado,80219,Denver,"$2,421"
Wisconsin,53206,Milwaukee,"$2,306"
Minnesota,55411,Minneapolis,"$2,292"
DC,20016,Washington,"$2,188"
Washington,98108,Boulevard Park,"$2,149"
Oklahoma,74110,Tulsa,"$2,146"
Tennessee,38118,Memphis,"$2,120"
West Virginia,25621,Gilbert,"$2,119"
Oregon,97266,Portland,"$2,068"
South Dakota,57756,Manderson,"$2,067"
Arkansas,72342,Helena-West Helena,"$2,066"
Kansas,66115,Kansas City,"$2,066"
South Carolina,29933,Miley,"$2,056"
Mississippi,39086,Hermanville,"$2,036"
New Mexico,87121,Albuquerque,"$2,030"
Alabama,35208,Birmingham,"$1,991"
Utah,84180,Salt Lake City,"$1,910"
Nebraska,68110,Omaha,"$1,904"
Alaska,99504,Anchorage,"$1,877"
North Carolina,28212,Charlotte,"$1,867"
Wyoming,82725,Recluse,"$1,844"
North Dakota,58538,Fort Yates,"$1,793"
Hawaii,96781,Papaikou,"$1,773"
Indiana,46409,Gary,"$1,695"
Iowa,51503,Council Bluffs,"$1,635"
Ohio,43224,Columbus,"$1,524"
Vermont,5060,Randolph,"$1,452"
Virginia,22312,Alexandria,"$1,425"
Idaho,83536,Kamiah,"$1,415"
New Hampshire,3104,Manchester,"$1,294"
Maine,4686,Wesley,"$1,186"
,48201,Detroit,"$30,350.09"
,48206,Detroit,"$29,791.56"
,48227,Detroit,"$29,374.46"
,48204,Detroit,"$29,281.79"
,48202,Detroit,"$28,946.15"
,48213,Detroit,"$28,556.49"
,48210,Detroit,"$28,417.19"
,48215,Detroit,"$28,186.14"
,48238,Detroit,"$28,148.98"
