Index,State,Zip_Code,City,Average_Auto_Insurance_Rate
0,Michigan,48226,Detroit,"$6,329"
1,New York,11212,New York,"$5,703"
2,Louisiana,70117,New Orleans,"$4,601"
3,Nevada,89101,Las Vegas,"$3,768"
4,California,91605,North Hollywood,"$3,767"
5,Pennsylvania,19140,Philadelphia,"$3,710"
6,Maryland,21216,Baltimore,"$3,443"
7,Kentucky,40944,Goose Rock,"$3,435"
8,Florida,33142,Brownsville,"$3,342"
9,New Jersey,7111,Irvington,"$3,043"
10,Missouri,63115,St. Louis,"$3,018"
11,Massachusetts,2119,Roxbury,"$2,943"
12,Rhode Island,2909,Providence,"$2,875"
13,Georgia,30035,Decatur,"$2,777"
14,Illinois,60624,Chicago,"$2,721"
15,Connecticut,6101,Hartford,"$2,667"
16,Delaware,19736,Yorklyn,"$2,646"
17,Arizona,85017,Phoenix,"$2,595"
18,Texas,75241,Dallas,"$2,447"
19,Colorado,80219,Denver,"$2,421"
20,Wisconsin,53206,Milwaukee,"$2,306"
21,Minnesota,55411,Minneapolis,"$2,292"
22,Dist. Of Columbia,20016,Washington,"$2,188"
23,Washington,98108,Boulevard Park,"$2,149"
24,Oklahoma,74110,Tulsa,"$2,146"
25,Tennessee,38118,Memphis,"$2,120"
26,West Virginia,25621,Gilbert,"$2,119"
27,Oregon,97266,Portland,"$2,068"
28,South Dakota,57756,Manderson,"$2,067"
29,Arkansas,72342,Helena-West Helena,"$2,066"
30,Kansas,66115,Kansas City,"$2,066"
31,South Carolina,29933,Miley,"$2,056"
32,Mississippi,39086,Hermanville,"$2,036"
33,New Mexico,87121,Albuquerque,"$2,030"
34,Alabama,35208,Birmingham,"$1,991"
35,Utah,84180,Salt Lake City,"$1,910"
36,Nebraska,68110,Omaha,"$1,904"
37,Alaska,99504,Anchorage,"$1,877"
38,North Carolina,28212,Charlotte,"$1,867"
39,Wyoming,82725,Recluse,"$1,844"
40,North Dakota,58538,Fort Yates,"$1,793"
41,Hawaii,96781,Papaikou,"$1,773"
42,Indiana,46409,Gary,"$1,695"
43,Iowa,51503,Council Bluffs,"$1,635"
44,Ohio,43224,Columbus,"$1,524"
45,Vermont,5060,Randolph,"$1,452"
46,Virginia,22312,Alexandria,"$1,425"
47,Idaho,83536,Kamiah,"$1,415"
48,New Hampshire,3104,Manchester,"$1,294"
49,Maine,4686,Wesley,"$1,186"
51,Michigan,48206,Detroit,"$29,791.56"
52,Michigan,48227,Detroit,"$29,374.46"
53,Michigan,48204,Detroit,"$29,281.79"
54,Michigan,48202,Detroit,"$28,946.15"
55,Michigan,48213,Detroit,"$28,556.49"
56,Michigan,48210,Detroit,"$28,417.19"
57,Michigan,48215,Detroit,"$28,186.14"
58,Michigan,48238,Detroit,"$28,148.98"
59,Michigan,48228,Detroit,"$28,073.12"
60,Michigan,48216,Detroit,"$28,040.22"
61,Michigan,48211,Detroit,"$28,033.06"
62,Michigan,48205,Detroit,"$27,952.29"
63,Michigan,48208,Detroit,"$27,867.09"
64,Michigan,48226,Detroit,"$27,767.58"
65,Michigan,48207,Detroit,"$27,424.94"
66,Michigan,48212,Hamtramck,"$26,925.66"
67,Michigan,48203,Highland Park,"$26,923.65"
68,Michigan,48224,Detroit,"$26,758.51"
69,Michigan,48214,Detroit,"$26,730.26"
70,Michigan,48209,Detroit,"$26,710.79"
71,Michigan,48126,Dearborn,"$26,665.38"
72,Michigan,48234,Detroit,"$26,566.42"
73,Michigan,48235,Detroit,"$26,516.65"
74,Michigan,48223,Detroit,"$26,031.27"
76,Virginia,22802,Harrisonburg,"$2,031.22"
77,Virginia,24401,Staunton,"$2,033.51"
78,Virginia,22815,Broadway,"$2,034.01"
79,Virginia,24060,Blacksburg,"$2,035.11"
80,Virginia,22840,Mc Gaheysville,"$2,036.30"
81,Virginia,22834,Linville,"$2,037.09"
82,Virginia,22853,Timberville,"$2,038.95"
83,Virginia,24416,Buena Vista,"$2,039.40"
84,Virginia,22833,Lacey Spring,"$2,041.03"
85,Virginia,24073,Christiansburg,"$2,042.79"
86,Virginia,22812,Bridgewater,"$2,043.31"
87,Virginia,22801,Harrisonburg,"$2,044.17"
88,Virginia,22939,Fishersville,"$2,044.69"
89,Virginia,24471,Port Republic,"$2,046.56"
90,Virginia,22821,Dayton,"$2,046.69"
91,Virginia,22841,Mount Crawford,"$2,048.17"
92,Virginia,22830,Fulks Run,"$2,048.95"
93,Virginia,22848,Pleasant Valley,"$2,049.22"
94,Virginia,22803,Harrisonburg,"$2,050.19"
95,Virginia,24141,Radford,"$2,050.57"
96,Virginia,22811,Bergton,"$2,050.97"
97,Virginia,24435,Fairfield,"$2,053.78"
98,Virginia,24486,Weyers Cave,"$2,055.76"
99,Virginia,22824,Edinburg,"$2,056.80"
100,Virginia,24450,Lexington,"$2,018.13"
101,Hawaii,96703,Anahola,"$2,198.62"
102,Ohio,44883,Tiffin,"$2,325.38"
103,Alaska,99820,Angoon,"$2,335.97"
104,Massachusetts,02554,Nantucket,"$2,378.90"
105,Maine,04742,Fort Fairfield,"$2,403.90"
106,Washington,98368,Port Townsend,"$2,461.54"
107,Wisconsin,54130,Kaukauna,"$2,491.30"
108,Iowa,52241,Coralville,"$2,598.27"
109,Idaho,83716,Boise,"$2,612.88"
110,New York,14830,Corning,"$2,729.59"
111,California,93401,San Luis Obispo,"$2,731.32"
112,Illinois,61443,Kewanee,"$2,792.51"
113,North Carolina,28701,Alexander,"$2,860.59"
114,Montanna,59635,East Helena,"$2,866.45"
115,Arizona,86403,Lake Havasu City,"$2,883.46"
116,New Hampshire,03431,Keene,"$2,887.77"
117,Wyoming,82801,Sheridan,"$2,896.66"
118,Indiana,47909,Lafayette,"$2,931.86"
119,Missouri,65301,Sedalia,"$2,938.18"
120,New Mexico,88310,Alamogordo,"$2,948.89"
121,Oregon,97850,La Grande,"$2,953.60"
122,Kansas,67401,Salina,"$2,954.93"
123,Mississippi,39759,Starkville,"$3,077.33"
124,Vermont,05446,Colchester,"$3,098.67"
125,Pennsylvania,16823,Bellefonte,"$3,116.01"
126,Nebraska,68803,Grand Island,"$3,133.81"
127,Texas,76901,San Angelo,"$3,157.68"
128,Tennessee,37601,Johnson City,"$3,173.65"
