State,Zip_Code,City,Average_Auto_Insurance_Rate
Massachusetts,02119,Roxbury,"$2,943 "
Massachusetts,02119,Boston,"$5,333.79 "
Massachusetts,02554,Nantucket,"$2,378.90 "
Rhode Island,02842,Middletown,"$3,908.01 "
Rhode Island,02907,Providence,"$7,262.39 "
Rhode Island,02909,Providence,"$2,875 "
New Hampshire,03104,Manchester,"$1,294 "
New Hampshire,03104,Manchester,"$3,845.88 "
New Hampshire,03431,Keene,"$2,887.77 "
Maine,04684,Surry,"$2,785.77 "
Maine,04686,Wesley,"$1,186 "
Maine,04742,Fort Fairfield,"$2,403.90 "
Vermont,05060,Randolph,"$1,452 "
Vermont,05079,Vershire,"$3,314.44 "
Vermont,05446,Colchester,"$3,098.67 "
Connecticut,06101,Hartford,"$2,667 "
Connecticut,06103,Hartford,"$6,373.96 "
Connecticut,06340,Groton,"$3,896.10 "
Delaware,06340,Groton,"$3,896.10 "
New Jersey,07102,Newark,"$8,512.59 "
New Jersey,07111,Irvington,"$3,043 "
New Jersey,07926,Brookside,"$4,592.17 "
New York,11212,New York,"$5,703 "
New York,11212,Brooklyn,"$10,751.24 "
New York,14830,Corning,"$2,729.59 "
Pennsylvania,16823,Bellefonte,"$3,116.01 "
Pennsylvania,19133,Philadelphia,"$8,527.54 "
Pennsylvania,19140,Philadelphia,"$3,710 "
Delaware,19736,Yorklyn,"$2,646 "
Delaware,19930,Bethany Beach,"$4,953.79 "
District Of Columbia,20001,Washington,"$4,383.61 "
District Of Columbia,20002,Washington,"$4,440.79 "
DC,20016,Washington,"$2,188 "
Maryland,21216,Baltimore,"$3,443 "
Maryland,21216,Baltimore,"$8,830.19 "
Maryland,21783,Smithsburg,"$3,658.86 "
Virginia,22312,Alexandria,"$1,425 "
Virginia,22312,Alexandria,"$2,871.02 "
,22801,Harrisonburg,"$2,044.17 "
,22801,Harrisonburg,"$2,044.17 "
,22802,Harrisonburg,"$2,031.22 "
,22802,Harrisonburg,"$2,031.22 "
,22803,Harrisonburg,"$2,050.19 "
,22803,Harrisonburg,"$2,050.19 "
,22811,Bergton,"$2,050.97 "
,22811,Bergton,"$2,050.97 "
,22812,Bridgewater,"$2,043.31 "
,22812,Bridgewater,"$2,043.31 "
,22815,Broadway,"$2,034.01 "
,22815,Broadway,"$2,034.01 "
,22821,Dayton,"$2,046.69 "
,22821,Dayton,"$2,046.69 "
,22824,Edinburg,"$2,056.80 "
,22824,Edinburg,"$2,056.80 "
,22830,Fulks Run,"$2,048.95 "
,22830,Fulks Run,"$2,048.95 "
,22833,Lacey Spring,"$2,041.03 "
,22833,Lacey Spring,"$2,041.03 "
,22834,Linville,"$2,037.09 "
,22834,Linville,"$2,037.09 "
,22840,Mc Gaheysville,"$2,036.30 "
,22840,Mc Gaheysville,"$2,036.30 "
,22841,Mount Crawford,"$2,048.17 "
,22841,Mount Crawford,"$2,048.17 "
,22848,Pleasant Valley,"$2,049.22 "
,22848,Pleasant Valley,"$2,049.22 "
