index,Zip_Code,Weather_Forecast,Weather_Description,Max_Temperature,Min_Temperature,Humidity
0,48226,Clouds,overcast clouds,41,37.99,86
1,11212,Clouds,broken clouds,57.99,55,58
2,70117,Clouds,broken clouds,80.01,77,100
3,89101,Clouds,few clouds,66.99,62.01,9
4,91605,Clear,clear sky,77,69.01,10
5,19140,Clear,clear sky,60.01,53.6,67
6,21216,Clouds,overcast clouds,60.8,57.99,72
7,40944,Clouds,overcast clouds,68,64,72
8,33142,Clouds,scattered clouds,82.99,80.6,78
9,07111,Clouds,broken clouds,57.2,53.01,58
10,63115,Clouds,broken clouds,41,39,86
11,02119,Clouds,broken clouds,51.01,46,57
12,02909,Clouds,overcast clouds,53.6,48.2,62
13,30035,Clouds,scattered clouds,71.6,68,94
14,60624,Clouds,overcast clouds,37.99,35.01,74
15,06101,Clouds,overcast clouds,52,48.99,62
16,19736,Clouds,overcast clouds,57.99,55,64
17,85017,Clouds,few clouds,66.99,64,16
18,75241,Mist,mist,42.8,41,86
19,80219,Clouds,few clouds,44.6,34,24
20,53206,Clear,clear sky,37,34,47
21,55411,Clouds,broken clouds,32,30,61
22,20016,Clouds,overcast clouds,63,59,77
23,98108,Clear,clear sky,57.2,54,58
24,74110,Rain,moderate rain,35.6,33.01,93
25,38118,Clouds,overcast clouds,60.8,57.99,77
26,25621,Clouds,broken clouds,62.6,59,88
27,97266,Clear,clear sky,57.99,53.01,47
28,57756,Clear,clear sky,35.6,35.6,51
29,72342,Clouds,few clouds,60.8,57.2,93
30,66115,Clouds,overcast clouds,34,33.01,74
31,29933,Clear,clear sky,71.6,71.01,88
32,39086,Clouds,overcast clouds,75,68,100
33,87121,Clouds,broken clouds,34,30,93
34,35208,Clouds,overcast clouds,75.2,72,78
35,84180,Clear,clear sky,43,37,48
36,68110,Clouds,few clouds,39.2,33.8,44
37,99504,Fog,fog,34,30,86
38,28212,Clouds,broken clouds,66.99,64.99,95
40,58538,Clouds,scattered clouds,35.33,35.33,86
41,96781,Rain,light rain,80.6,53.01,78
42,46409,Clouds,overcast clouds,37.99,35.6,93
43,51503,Clouds,few clouds,39.2,33.8,44
44,43224,Rain,light rain,48.2,46,93
45,05060,Rain,light rain,32,30,91
46,22312,Clouds,overcast clouds,63,60.01,77
47,83536,Clear,clear sky,42.8,37.4,75
48,03104,Clouds,overcast clouds,46.99,42.01,64
49,04686,Rain,light rain,39,37.99,74
50,48206,Clouds,overcast clouds,41,37.99,86
51,48227,Clouds,overcast clouds,41,36,86
52,48204,Clouds,overcast clouds,41,37.99,86
53,48202,Clouds,overcast clouds,39.99,37,86
54,48213,Clouds,overcast clouds,39.99,37,86
55,48210,Clouds,overcast clouds,41,37.99,86
56,48215,Clouds,overcast clouds,39.99,37,86
57,48238,Clouds,overcast clouds,41,37.99,86
58,48228,Clouds,overcast clouds,41,36,86
59,48216,Clouds,overcast clouds,41,37.99,86
60,48211,Clouds,overcast clouds,39.99,37,86
61,48205,Clouds,overcast clouds,39.99,37,86
62,48208,Clouds,overcast clouds,41,37.99,86
63,48226,Clouds,overcast clouds,41,37.99,86
