Zip_Code,City,Weather_Forecast,Weather_Description,Max_Temperature,Min_Temperature,Humidity
02119,Boston,Clouds,overcast clouds,48.99,43,57
02119,Boston,Clouds,overcast clouds,48.99,43,57
02554,Fall River,Clouds,overcast clouds,50,48,61
02842,Newport,Clouds,overcast clouds,50,46.4,75
02907,Cranston,Clouds,overcast clouds,46.99,44.01,75
02909,Providence,Clouds,overcast clouds,46.99,44.01,75
03104,Manchester,Clouds,scattered clouds,37.99,33.01,90
03104,Manchester,Clouds,scattered clouds,37.99,33.01,90
03431,Concord,Clear,clear sky,37,33.8,73
04684,Bangor,Clear,clear sky,33.01,30.2,86
04686,Bangor,Clouds,scattered clouds,30,27,79
04742,Caribou,Clear,clear sky,26.6,21.2,79
05060,Montpelier,Clouds,overcast clouds,33.01,33.01,66
05079,Lebanon,Clouds,broken clouds,36,30.99,76
05446,Burlington,Clouds,broken clouds,37.99,34,77
06101,Hartford,Clouds,overcast clouds,46.99,44.01,75
06103,Hartford,Clouds,overcast clouds,46.99,44.01,75
06340,Newport,Clouds,overcast clouds,48.99,48,70
06340,Newport,Clouds,overcast clouds,48.99,48,70
07102,Newark,Mist,mist,53.6,48.2,93
07111,Newark,Mist,mist,53.6,46.4,93
07926,Elizabeth,Mist,mist,48,44.01,93
11212,New York,Clouds,overcast clouds,55.99,48.2,87
11212,New York,Clouds,overcast clouds,55.99,48.2,87
14830,Binghamton,Clouds,overcast clouds,44.6,37.99,81
16823,Altoona,Rain,light rain,43,39.99,93
19133,Philadelphia,Clouds,overcast clouds,48.99,46.99,87
19140,Philadelphia,Mist,mist,48.2,44.6,93
19736,Wilmington,Clouds,overcast clouds,48.99,45,87
19930,Salisbury,Rain,moderate rain,62.01,57.99,96
20001,Washington D.C.,Drizzle,light intensity drizzle,48.2,46,93
20002,Washington D.C.,Drizzle,light intensity drizzle,48.2,46,93
20016,Bethesda,Drizzle,light intensity drizzle,48.2,45,93
21216,Baltimore,Clouds,overcast clouds,48.2,46,87
21216,Baltimore,Clouds,overcast clouds,48.2,46,87
21783,Hagerstown,Mist,mist,46,41,93
22312,Alexandria,Drizzle,light intensity drizzle,48.2,45,93
22312,Alexandria,Drizzle,light intensity drizzle,48.2,45,93
22801,Harrisonburg,Clouds,overcast clouds,46,43,100
22801,Harrisonburg,Clouds,overcast clouds,46,43,100
22802,Harrisonburg,Clouds,overcast clouds,45,43,89
22802,Harrisonburg,Clouds,overcast clouds,45,43,89
22803,Harrisonburg,Clouds,overcast clouds,46,43,100
22803,Harrisonburg,Clouds,overcast clouds,46,43,100
22811,Harrisonburg,Clouds,overcast clouds,43,41,99
22811,Harrisonburg,Clouds,overcast clouds,43,41,99
22812,Harrisonburg,Clouds,overcast clouds,46,44.01,100
22812,Harrisonburg,Clouds,overcast clouds,46,44.01,100
22815,Harrisonburg,Clouds,overcast clouds,44.01,43,93
22815,Harrisonburg,Clouds,overcast clouds,44.01,43,93
22821,Harrisonburg,Clouds,overcast clouds,46,44.6,100
22821,Harrisonburg,Clouds,overcast clouds,46,44.6,100
22824,Harrisonburg,Clouds,overcast clouds,45,41,97
22824,Harrisonburg,Clouds,overcast clouds,45,41,97
22830,Harrisonburg,Clouds,overcast clouds,44.01,43,93
22830,Harrisonburg,Clouds,overcast clouds,44.01,43,93
22833,Harrisonburg,Clouds,overcast clouds,45,43,89
22833,Harrisonburg,Clouds,overcast clouds,45,43,89
22834,Harrisonburg,Clouds,overcast clouds,45,43,93
22834,Harrisonburg,Clouds,overcast clouds,45,43,93
22840,Harrisonburg,Mist,mist,46,44.01,100
22840,Harrisonburg,Mist,mist,46,44.01,100
22841,Harrisonburg,Clouds,overcast clouds,46,44.01,100
